"ID","Name","Locations","Comments"
"0","None","",""
"1","Null BGM","","Empty sound"
"2","Prelude - Rebirth","A Realm Reborn title",""
"3","Dreams Aloft","Cid cutscenes","Old launcher theme, from 1.0"
"4","Prelude - Discoveries","Character Select & Creation",""
"5","Behind Closed Doors","Inn theme",""
"6","Wailers and Waterwheels","Gridania (day)",""
"7","Dance of the Fireflies","Gridania (night)",""
"8","Serenity","Central/North Shroud",""
"9","Serenity","Black Shroud sanctuaries",""
"10","Serenity","The Black Shroud",""
"11","Serenity","South Shroud",""
"12","Serenity","Sanctum of the Twelve",""
"13","The Land Bends","The Black Shroud combat",""
"14","Tenacity","Leves",""
"15","Slumber Disturbed","The Tam-Tara Deepcroft",""
"16","The Promise of Plunder","Early ARR Dungeons",""
"17","The Dark's Embrace","ARR HM Dungeons","Transitions to ""The Dark's Kiss"" in combat"
"18","Victory!","End of most instances",""
"19","","",""
"20","Victory!","End of most instances","No vocals 21"
"21","Victory!","End of most instances",""
"22","???","Frontlines","Gate open theme"
"23","The Hero of Hatchingtide","","Chiptune version of 21 (Victory)"
"24","Greenwrath","East Shroud",""
"25","I Am the Sea","Limsa Lominsa (day)",""
"26","A Sailor Never Sleeps","Limsa Lominsa",""
"27","On Westerly Winds","Middle/Lower La Noscea",""
"28","On Westerly Winds","La Noscea",""
"29","On Westerly Winds","Eastern La Noscea",""
"30","On Westerly Winds","Eastern La Noscea",""
"31","On Westerly Winds","La Noscean sanctuaries",""
"32","Currents","La Noscea",""
"33","The Land Breathes","La Noscea combat",""
"34","","",""
"35","From the Depths","Sastasha",""
"36","Torn from the Heavens","Various",""
"37","A Fine Death","ARR Dungeon bosses",""
"38","Nemesis","ARR Dungeon final bosses",""
"39","Pennons Aloft","Instanced battles",""
"40","Brothers in Arms","Guildhests",""
"41","The Maiden's Lament","Haukke Manor",""
"42","A Thousand Screams","The Thousand Maws of Toto-Rak",""
"43","Lipflaps on Longstops","Brayflox's Longstop",""
"44","A New Hope","Ul'dah (day)",""
"45","Sultana Dreaming","Ul'dah (night)",""
"46","To the Sun","Western/Central Thanalan",""
"47","To the Sun","Thanalan",""
"48","To the Sun","Southern Thanalan",""
"49","To the Sun","Thanalan sanctuaries",""
"50","To the Sun","Thanalan",""
"51","Fleeting Rays","Eastern Thanalan",""
"52","The Land Burns","Thanalan combat",""
"53","Below","Copperbell Mines",""
"54","The Ludus","Halatali",""
"55","The Gift of Life","Thanalan sanctuaries",""
"56","Calling","",""
"57","Discordance","Northern Thanalan",""
"58","Beyond the Unknown","Cutscene (Edda)","Very short"
"59","Slither","Northern Thanalan outskirts","Very short and sounds similar to Discordance"
"60","Intertwined","Mor Dhona",""
"61","Bo-down","Chocobo porters",""
"62","Eorzea de Chocobo","Chocobo mounts",""
"63","Into the Adder's Den","Twin Adder command",""
"64","Maelstrom Command","Maelstrom command",""
"65","The Hall of Flames","Immortal Flames command",""
"66","The Waking Sands","Western Thanalan",""
"67","When a Tree Falls","Leves",""
"68","The Tug of Fate","Certain FATEs",""
"69","To the Fore","Certain FATEs/Boss battles",""
"70","Whisper of the Land ","Cutscenes (1.0)",""
"71","On Windy Meadows","Cutscenes (1.0)",""
"72","Twilight Over Thanalan","Cutscenes (1.0)",""
"73","Dewdrops & Moonbeams","The Lotus Stand (Kan-E-Senna)",""
"74","The Sands' Secrets","Eorzean Alliance (Raubahn)",""
"75","Ripples in the Sea","Eorzean Alliance (Merlwyb)",""
"76","Imperial Will","Cutscenes (Empire)",""
"77","Defender of the Realm","Cutscenes (Heroic)",""
"78","Fracture","Cutscenes (Suspense)",""
"79","One Blood","Cutscenes (Tension)",""
"80","Conundrum","Cutscenes (Mysterious/Hildibrand)",""
"81","Prelude - Rebirth","Cutscenes","Remix with a slightly different harp"
"82","Return of the Hero","Cutscenes (Resolution)",""
"83","Kiss of Chaos","Cutscenes (Tension)",""
"84","Forever Lost","Cutscenes (Sad)",""
"85","Machinations","Wolves' Den / Northern Thanalan Sanctuaries",""
"86","The Only Path","Cutscenes (Positive)",""
"87","Daring Dalliances","Cutscenes (Positive)",""
"88","Bliss","Cutscenes (Comedic)",""
"89","A World Apart","Cutscenes (Heroic)",""
"90","Relics","Cutscenes (esp. Job quests)",""
"91","Breaking Boundaries","Job quest battles",""
"92","The Echo","Cutscenes",""
"93","Tranquility","Cutscenes (Resolution)",""
"94","Without Shadow","Cutscenes (Ascians)",""
"95","The Seventh Sun","Cutscenes",""
"96","Sacred Bonds","Cutscenes (Sad)",""
"97","Canticle","Cutscenes (Exposition)",""
"98","Where the Heart Is","Cutscenes (Resolution)","1.0 track"
"99","Dreams Aloft","Cutscenes (Resolution)",""
"100","Supply & Demand","Cutscenes (Comedic)","1.0 track"
"101","By Design","Cutscenes (Comedic)","1.0 track"
"102","Decisions","Cutscenes (Mysterious), Little Ladies' Day","1.0 track"
"103","Agent of Inquiry","Hildibrand Theme",""
"104","","",""
"105","Nature's Bounty","Cutscenes, Eternal Bonding","1.0 track"
"106","Falling Shards","Various, Eternal Bonding","Harp-only version of Prelude"
"107","Pennons Aloft","Instanced battles, Fenrir battle","1.0 track"
"108","Battle Theme 1.x","Hildibrand FATEs/Hall of the Novice/B-ranks",""
"109","","",""
"110","Salt Swept","Aleport/Moraby Drydocks",""
"111","Paris Themed","Limsa Lominsa",""
"112","My Soul to Keep","Haukke Manor/Tam-Tara HM",""
"113","From Fear to Fortitude","Instanced battles",""
"114","Damnation","Cutscenes (Suspense)",""
"115","Hard to Miss","Boss FATEs",""
"116","A Fell Air Falleth","Later ARR Dungeons",""
"117","Skullduggery","Instanced battles/Qarn HM",""
"118","Another Round","Bars and Taverns",""
"119","Ruby Sunrise","Costa del Sol",""
"120","Primal Judgement ","The Bowl of Embers",""
"121","The Rider's Boon","ARR mounts",""
"122","Cracks in the Wall","Amdapor Keep",""
"123","A Tonberry's Tears","The Wanderer's Palace",""
"124","Echoes of Ages Past","The Sunken Temple of Qarn",""
"125","Abomination","Cutter's Cry",""
"126","Cold Salvation","The Stone Vigil",""
"127","The Darkhold","Dzemael Darkhold",""
"128","Miser's Folly","The Aurum Vale",""
"129","Engage","The Enterprise",""
"130","Fever Dream","Cutscenes (Tension)","Excerpt from a longer 1.0 track"
"131","Serving the Light","Warrior of Light",""
"132","Answers","ARR End Credits",""
"133","Opening Theme","ARR End Credits Special/1.0 players","1.0 ending"
"134","A Curious Breed of Botherment","Sylph Theme song",""
"135","Flightless Wings","Ixal Theme song",""
"136","Quick as Silver, Hard as Stone","Kobold theme song",""
"137","Battle Drums ","Sahagin theme song","1.0 track"
"138","Pitfire","Amalj'aa theme song","1.0 track"
"139","","",""
"140","","",""
"141","Fealty","Coerthas Central Highlands",""
"142","The Dragon's Dirge","Coerthas Central Highlands (Whitebrim)",""
"143","Undying Faith","Coerthas Central Highlands (Observatorium)",""
"144","The Land Breaks","Coerthas Central Highlands battle",""
"145","The Land Bleeds","Mor Dhona battle",""
"146","Primal Timbre","The Binding Coil of Bahamut","Transitions into ""Spiral"" in combat"
"147","Calamity Unbound","The Binding Coil of Bahamut bosses",""
"148","The Emperor's Wont","Imperial Castrums",""
"149","Penitus","The Praetorium",""
